都道府県,拠点名,DB名,郵便番号,住所,電話番号
三重県,いなべ市大安中央児童センター,ネット検索,5110274,いなべ市大安町大井田2717番地3,
三重県,北勢子育て支援センター（すこやかランド）,ネット検索,5110426,いなべ市北勢町其原８１８（山郷保育所内）,
三重県,員弁子育て支援センター（なかよしひろば）,ネット検索,5110204,いなべ市員弁町石仏１８６８－１（員弁西保育園内）,
三重県,大安子育て支援センター（遊・友・YOUチャイルド）,ネット検索,5110281,いなべ市大安町門前５３１番地１,
三重県,子育て支援センターはっぴぃはあと,ネット検索,5110266,いなべ市大安町石榑南３３５,
三重県,藤原子育て支援センター（つくしんぼ）,ネット検索,5110504,いなべ市藤原町川合７７０番地,
三重県,なぎの木,ネット検索,5190211,亀山市川崎町字上垣内４９２８,
三重県,亀山市亀山子育て支援センター,ネット検索,5190164,亀山市羽若町５４５,
三重県,亀山市関子育て支援センター,ネット検索,5191107,亀山市関町木崎７８６,
三重県,亀山愛児園 こすもす倶楽部,ネット検索,5190125,亀山市東町１丁目１０番１６号１,
三重県,子育て支援センター「のんの」,ネット検索,5190222,亀山市両尾町字車瀬２１９３,
三重県,伊勢市二見子育て支援センター,ネット検索,5190606,伊勢市二見町荘２０６８ー１,
三重県,伊勢市子育て支援センターきらら館,ネット検索,5160041,伊勢市常磐２丁目４番４０号,
三重県,伊勢市子育て支援センターしごうこども園,ネット検索,5160022,伊勢市一宇田町８９１－１,
三重県,伊勢市子育て支援センター明倫保育所,ネット検索,5160073,伊勢市吹上２丁目１１番４２号,
三重県,伊勢市小俣子育て支援センター,ネット検索,5190503,伊勢市小俣町元町５３６,
三重県,伊勢市御薗子育て支援センター,ネット検索,5160804,伊勢市御薗町長屋1221番地,
三重県,あやま子育て支援センター,ネット検索,5181313,伊賀市馬場１１２８－１（阿山保健福祉センター内）,
三重県,いがまち子育て支援センター,ネット検索,5191413,伊賀市愛田５１３,
三重県,伊賀市子育て包括支援センター,ネット検索,5180873,伊賀市上野丸之内５００番地（ハイトピア伊賀４階）,
三重県,大山田子育て支援センター,ネット検索,5181422,伊賀市平田７,
三重県,子育て支援センター “エンジェル”,ネット検索,5180854,伊賀市上野忍町２５１６－７,
三重県,島ヶ原子育て支援センター,ネット検索,,伊賀市島ヶ原４６９６－９,
三重県,曙保育園 「すくすくらんど」,ネット検索,5180856,伊賀市上野徳居町３２７２－２,
三重県,青山子育て支援センター,ネット検索,5180226,伊賀市阿保１１５２,
三重県,南伊勢町子育て支援センター,ネット検索,5161305,度会郡南伊勢町阿曽浦３３４－１,
三重県,みはた虹の丘保育園 マイ保育ステーション「なないろ」,ネット検索,5180611,名張市新田字女良塚１００５,
三重県,マイ保育ステーション おひさま,ネット検索,5180400,名張市赤目町壇４４８－３（赤目保育所内）,
三重県,マイ保育ステーション かざみどり,ネット検索,5180718,名張市丸之内６７番地１０（昭和保育園内）,
三重県,名張市こども支援センターかがやき,ネット検索,5180643,名張市桔梗が丘西３番町３街区１０７番地,
三重県,子育て支援センター 「つくし」,ネット検索,5180625,名張市桔梗が丘５番町２街区４８番地,
三重県,あがた保育園子育て支援センター,ネット検索,5121204,四日市市赤水町９６６－１,
三重県,いずみ保育園 ふれあいルーム,ネット検索,5120912,四日市市三重六丁目１２９,
三重県,こっこ保育園子育て支援センター あかまんま,ネット検索,5100000,四日市市日野町字道の上９８６－１,
三重県,たいすい中央保育園,ネット検索,5100074,四日市市鵜の森１－１０－２０,
三重県,たいすい子育て支援センター 『タイスイ キッズ クラブ』,ネット検索,5100943,四日市市西日野町字今郷１８７１－７,
三重県,ひよこ保育園子育て支援センター,ネット検索,5100942,四日市市東日野町字城山１６１１－１６,
三重県,みのり保育所子育て支援センター たんぽぽ,ネット検索,5100003,四日市市大宮町２６－５,
三重県,三原子育て支援センター,ネット検索,5100891,四日市市日永西３丁目１－２１,
三重県,下野中央保育園子育て支援センター,ネット検索,5128054,四日市市朝明町４９８－１,
三重県,塩浜子育て支援センター,ネット検索,5100863,四日市市大字塩浜８８７－１,
三重県,大矢知保育園 子育て支援センター,ネット検索,5108021,四日市市松寺一丁目１１－１２,
三重県,大谷大保育園子育て広場,ネット検索,5120901,四日市市大谷台１丁目８２,
三重県,日の本保育園「子育て支援センター」,ネット検索,5108015,四日市市松原町３－３,
三重県,桜花台こどもクリニック子育て支援センター,ネット検索,5121216,四日市市桜花台１丁目４５－１,
三重県,橋北子育て支援センター,ネット検索,5100023,四日市市午起１丁目３－１３,
三重県,海蔵保育園 子育て支援センター,ネット検索,5100812,四日市市西阿倉川８８３－１,
三重県,笹川保育園 子育て支援センター,ネット検索,5100944,四日市市笹川６丁目２９－１,
三重県,多気町子育て支援センター ＜のびのび＞,ネット検索,5192183,多気郡多気町四疋田５９４,
三重県,大台町子育て支援センター,ネット検索,5192428,多気郡大台町粟生１０１０ 健康ふれあい会館内,
三重県,大紀町地域子育て支援センター,ネット検索,5193111,度会郡大紀町大内山８６１－１ 大内山健康福祉センター内,
三重県,大紀町地域子育て支援センター きらり,ネット検索,5192703,度会郡大紀町滝原１８８８－５ 大宮保育園内,
三重県,子育て支援センター 「ちびっこ広場」,ネット検索,5193663,尾鷲市宮ノ上町８番１号 尾鷲第二保育園内,
三重県,ひばり保育園子育て支援センター（よっかいち諧朋苑）,ネット検索,5108122,三重郡川越町豊田８５－１,
三重県,川越町子育て支援センター,ネット検索,5108123,三重郡川越町大字豊田一色２３５－１,
三重県,度会町子育て支援センター,ネット検索,5162103,度会郡度会町棚橋１４５３－２,
三重県,子育て支援センター わくわくの森,ネット検索,5170502,志摩市阿児町神明８７８－７８,
三重県,志摩市志摩子育て支援センター,ネット検索,5170703,志摩市志摩町和具６６０番地,
三重県,志摩市磯部子育て支援センター,ネット検索,5170214,志摩市磯部町迫間９５５番地,
三重県,浜島子育て支援センター,ネット検索,5170404,志摩市浜島町浜島７０９番地浜島幼保園内,
三重県,いちごくらぶ,ネット検索,5150321,多気郡明和町斎宮北野３５３５－１,
三重県,おひさまひろば,ネット検索,5150332,多気郡明和町大字馬之上９４４－５,
三重県,こあら,ネット検索,5150313,多気郡明和町大字明星1060 明和町立みょうじょうこども園内,
三重県,なりひら地域子育て支援センター,ネット検索,5150300,多気郡明和町尾大字大堀川新田９,
三重県,児童センター,ネット検索,5150322,多気郡明和町大字上村１４１９番地,
三重県,朝日町子育て支援センター,ネット検索,5100000,三重郡朝日町大字２０６８－１,
三重県,木曽岬町子育て支援センター,ネット検索,4980807,桑名郡木曽岬町大字西対海地２５０番地,
三重県,東員町子育て支援センター,ネット検索,5110255,員弁郡東員町大字長深６９０,
三重県,いきいきわくわく子育てひろば,ネット検索,5150044,松阪市久保町１２４５,
三重県,こどもセンターわかすぎ,ネット検索,5152321,松阪市嬉野中川町１８８１,
三重県,こどもセンターわかすぎ第三,ネット検索,5152108,松阪市甚目町６５３－１,
